Item,Revenue Class,Department,Default Price,Qty,Total Cost,% of Total,Discounts,Avg. Sale Price,Gross Sales,Net Sales,Net Sales w/o Mods,% of Total
Sirloin Chucktown Acres,Food,Frozen,42,3,0,0,0,42,126,126,,0.24
Sm Saratoga Water,Beverage,NA Beverage,4,36,0,0,0.4,3.99,144,143.6,,0.27
Sm Sparkling - Saratoga,Beverage,NA Beverage,4,22,0,0,2,3.91,88,86,,0.16
Soellner Gruner Toni Veltliner,Wine,PM Wine,24,1,0,0,0,24,24,24,,0.05
Square matchbox,Retail,Retail Merch,15,10,0,0,1.5,14.85,150,148.5,,0.28
Sugar Roses & Flowers,Food,Valentine,20,2,0,0,0,20,40,40,,0.08
Sun Lamp,Retail,Coffee,20,1,0,0,0,20,20,20,,0.04
Swedish Candy Canes,Retail,Christmas,5,2,0,0,4,3,10,6,,0.01
Sweet potato chorizo,Food,Retail Food,14,21,0,0,1.4,13.93,294,292.6,,0.56
Table Cards Hester & Cook,Retail,Retail Merch,16,4,0,0,0,16,64,64,,0.12
Tahini Date & Cacao Nib Granola - Sweet Deliverance,Retail,Retail Food,18,6,0,0,0,16.67,100,100,,0.19
Taper Candles - Greentree,Retail,Retail Merch,16,3,0,0,1.6,15.47,48,46.4,,0.09
Tea,Coffee,Coffee,4,26,0,0,0.8,3.97,104,103.2,,0.2
Tea Tin Fete de Versailles,Beverage,Valentine,22,3,0,0,0,22,66,66,,0.13
Tea Tin Marie Antoinette,Retail,Valentine,32,3,0,0,0,32,96,96,,0.18
Thank you card,Retail,Retail Merch,6,3,0,0,0,6,18,18,,0.03
The Cook's Atelier,Retail,Retail Merch,55,1,0,0,0,55,55,55,,0.1
The Dinner Party Project by Natasha Feldman cookbook,Retail,Retail Merch,40,1,0,0,0,40,40,40,,0.08
The Lost Kitchen,Retail,Retail Merch,35,1,0,0,0,35,35,35,,0.07
Tiberio Cerasuolo,Wine,PM Wine,40,1,0,0,0,40,40,40,,0.08
TLO Matcha Lemonade,Beverage,NA Beverage,7,9,0,0,0.7,6.92,63,62.3,,0.12
TLO Pandan Coconut,Beverage,NA Beverage,7,13,0,0,0,7,91,91,,0.17
TLO Vietnamese Lemonade,Beverage,NA Beverage,7,11,0,0,0.7,6.94,77,76.3,,0.15
